Wall time,Step,Value
1594570395.598877,345,-0.02190248668193817
1594570515.2131474,391,-0.029976919293403625
1594570529.9602802,398,-0.02921392023563385
1594570584.9561388,420,-0.027202265337109566
1594570659.755833,454,-0.026221251115202904
1594570674.8237462,459,-0.02613995596766472
1594570774.678661,497,-0.025535743683576584
1594571084.306106,580,-0.034703075885772705
1594571099.2860255,585,-0.03530362248420715
1594571144.8297448,597,-0.03711431846022606
1594571462.2192442,670,-0.04891660809516907
1594571487.3496575,674,-0.05003110319375992
1594571593.331949,695,-0.0559762604534626
1594571618.8433867,701,-0.058022063225507736
1594571654.7255077,704,-0.061411723494529724
1594571685.3709786,710,-0.0637507438659668
1594571865.4283454,743,-0.07504700124263763
1594571875.4746563,746,-0.07573653012514114
1594571916.2913964,756,-0.0777701884508133
1594572064.8509638,784,-0.07919461280107498
1594572167.8313732,807,-0.07997813820838928
1594572439.2512658,867,-0.07985655963420868
1594572444.1271043,868,-0.0802641287446022
1594572545.336527,887,-0.0795602798461914
1594572635.3488805,904,-0.07902641594409943
1594572705.3545842,917,-0.0793963298201561
1594573020.9636936,962,-0.08340250700712204
1594573159.4986954,976,-0.08704108744859695
1594573241.1614745,985,-0.08961504697799683
1594573277.4894264,990,-0.09132383018732071
1594573282.513164,991,-0.09067145735025406
1594573451.7907763,1020,-0.09436974674463272
1594573522.685307,1024,-0.09644728153944016
1594573563.3177955,1027,-0.09750549495220184
1594573587.9162068,1032,-0.09745487570762634
1594573598.0964646,1033,-0.09792710840702057
1594573658.7691548,1041,-0.09952645003795624
1594573709.6726468,1045,-0.10042785853147507
1594573926.069416,1075,-0.10258107632398605
1594573966.9328551,1081,-0.10311509668827057
1594574008.6249857,1088,-0.10329951345920563
1594574140.7188966,1102,-0.10584857314825058
1594574186.5053988,1110,-0.10712835192680359
1594574206.7043355,1112,-0.10726094990968704
1594574217.2220592,1112,-0.10752543807029724
1594574288.8593345,1117,-0.1089482381939888
1594574299.563735,1119,-0.10869017988443375
1594574335.576681,1124,-0.11045993864536285
1594574376.7362227,1130,-0.11033041030168533
1594574407.6557155,1135,-0.11103034764528275
1594574550.7901254,1144,-0.11414314806461334
1594574921.123303,1183,-0.12281852960586548
1594575090.6188624,1201,-0.12703190743923187
1594575106.0813115,1203,-0.1271819770336151
1594575193.3596442,1210,-0.13026149570941925
1594575239.2627327,1214,-0.13148917257785797
1594575244.4387681,1215,-0.13108545541763306
1594575276.0475204,1218,-0.13265451788902283
1594575281.1225243,1218,-0.13238489627838135
1594575306.709373,1219,-0.13357150554656982
1594575399.8350224,1228,-0.1348385065793991
1594575415.5596552,1230,-0.13550923764705658
1594575462.826632,1236,-0.13612037897109985
1594575714.3167193,1257,-0.14218702912330627
1594575729.6985033,1260,-0.14265696704387665
1594575760.2137406,1262,-0.14329852163791656
1594575791.218993,1263,-0.14470188319683075
1594575868.9262857,1269,-0.14593501389026642
1594575900.1110528,1270,-0.1470501869916916
1594575926.1194036,1272,-0.1483789086341858
1594576195.38173,1285,-0.1534557342529297
1594576220.9961264,1287,-0.15432092547416687
1594576226.3068943,1288,-0.15409010648727417
1594576321.104669,1295,-0.15685752034187317
1594576388.7732725,1299,-0.1574683040380478
1594576456.2991195,1302,-0.15997517108917236
1594576650.5890417,1321,-0.16295115649700165
1594576735.9378726,1329,-0.1644294261932373
1594576835.6659334,1337,-0.1661543995141983
1594577012.3161278,1350,-0.16861535608768463
1594577027.3775153,1351,-0.16883856058120728
1594577098.7138407,1357,-0.16964687407016754
1594577118.7682338,1357,-0.17052775621414185
1594577361.2342505,1374,-0.1745956987142563
1594577396.0914419,1378,-0.17467859387397766
1594577506.8813705,1385,-0.17681139707565308
1594577567.8490329,1392,-0.17723819613456726
1594577618.3473763,1394,-0.17826783657073975
1594577770.9654212,1403,-0.18195414543151855
1594577826.65885,1407,-0.18207529187202454
1594577866.244325,1412,-0.18308737874031067
1594577896.6076422,1413,-0.18335694074630737
1594578059.2151914,1423,-0.1853756457567215
1594578079.3589787,1424,-0.18565219640731812
1594578204.4083798,1432,-0.1874224841594696
1594578285.524972,1437,-0.18923525512218475
1594578290.611039,1437,-0.18928521871566772
1594578367.357059,1448,-0.19037166237831116
1594578387.8865957,1448,-0.19122397899627686
1594578473.0196736,1454,-0.1919412910938263
1594578650.655669,1467,-0.1944909542798996
1594578689.9777563,1472,-0.19514286518096924
1594578861.519433,1487,-0.19650810956954956
1594578907.2303495,1490,-0.19738176465034485
1594578937.0540166,1494,-0.19756294786930084
1594578962.078997,1496,-0.19803757965564728
1594578997.0830483,1498,-0.198113352060318
1594579042.7972012,1500,-0.19886867702007294
1594579112.9021146,1507,-0.19963330030441284
1594579122.8079784,1507,-0.20039689540863037
1594579138.026517,1507,-0.20120979845523834
1594579183.5061793,1509,-0.2013193666934967
1594579359.4320085,1523,-0.20393691956996918
1594579480.9173493,1530,-0.2058919221162796
1594579586.3589637,1536,-0.20830534398555756
1594579677.3513494,1538,-0.21046650409698486
1594579722.8070967,1542,-0.21077914535999298
1594579788.3813117,1546,-0.21274864673614502
1594579803.2457917,1548,-0.21196584403514862
1594579843.298117,1548,-0.21327950060367584
1594580046.0133023,1559,-0.21569067239761353
1594580133.269512,1564,-0.21793164312839508
1594580183.5469935,1567,-0.21834401786327362
1594580198.7254686,1569,-0.21891815960407257
1594580298.265698,1573,-0.2202606350183487
1594580378.2177024,1577,-0.22049440443515778
1594580469.8531494,1581,-0.2225782722234726
1594580531.992447,1584,-0.22275954484939575
1594580617.2021394,1591,-0.22369183599948883
1594580647.196835,1593,-0.2240675687789917
1594580768.5523899,1600,-0.2250620573759079
1594580835.084438,1605,-0.22710426151752472
1594580850.1868825,1605,-0.22697585821151733
1594580855.4531932,1605,-0.22691741585731506
1594580895.515862,1609,-0.2269754856824875
1594580915.7478635,1610,-0.2280316799879074
1594580950.9863367,1612,-0.22814081609249115
1594581199.6599967,1625,-0.23114129900932312
1594581219.9605486,1625,-0.2318492978811264
1594581254.8989975,1626,-0.23263216018676758
1594581300.4770753,1628,-0.23254811763763428
1594581411.6102486,1635,-0.234253391623497
1594581431.7859697,1636,-0.233873650431633
1594581472.6360795,1640,-0.23604291677474976
1594581512.5074146,1641,-0.2359105944633484
1594581532.7963219,1642,-0.2356104850769043
1594581632.4590468,1650,-0.23692567646503448
1594581657.7042322,1652,-0.2377997189760208
1594581662.6047468,1652,-0.23741865158081055
1594581687.511567,1653,-0.23937177658081055
1594581748.1050463,1655,-0.23875756561756134
1594581763.5059454,1655,-0.24000360071659088
1594581788.232119,1656,-0.23884153366088867
1594581884.0819852,1660,-0.24147380888462067
1594581964.2718933,1666,-0.24380265176296234
1594582015.4674714,1670,-0.24518141150474548
1594582077.051734,1671,-0.24508827924728394
1594582209.7936196,1679,-0.24679908156394958
1594582254.494458,1681,-0.2484377920627594
1594582429.5894716,1692,-0.2516231834888458
1594582434.50761,1692,-0.25149017572402954
1594582444.6112835,1692,-0.2521628439426422
1594582665.6674228,1701,-0.2565667927265167
1594582706.2809186,1704,-0.25631001591682434
1594582751.6487575,1706,-0.25795724987983704
1594582761.87734,1706,-0.25722557306289673
1594582787.581382,1709,-0.25802919268608093
1594582913.9404905,1714,-0.2609865665435791
1594582918.9321911,1714,-0.26034262776374817
1594582969.3282287,1719,-0.2616768777370453
1594582979.5665092,1719,-0.26157188415527344
1594583005.0751383,1720,-0.261653870344162
1594583075.9694707,1725,-0.26369619369506836
1594583107.0641937,1725,-0.26310810446739197
1594583152.4800694,1727,-0.2648153007030487
1594583228.2187858,1734,-0.2653553783893585
1594583258.3440578,1735,-0.2663249969482422
1594583497.1721675,1749,-0.2700744867324829
1594583527.3653424,1752,-0.2705613672733307
1594583614.3504648,1753,-0.27208593487739563
1594583644.5981746,1757,-0.2734838128089905
1594583926.6046882,1768,-0.2767232060432434
1594583951.6444056,1768,-0.27642160654067993
1594584018.3576145,1771,-0.2789207696914673
1594584208.6568575,1777,-0.28228169679641724
1594584281.1514544,1781,-0.28256818652153015
1594584462.0242727,1787,-0.28630512952804565
1594584888.763774,1808,-0.2943907678127289
1594584936.156993,1811,-0.2953033745288849
1594584983.110998,1813,-0.2962891161441803
1594585014.7582178,1813,-0.2971328794956207
1594585139.6496174,1819,-0.3002726137638092
1594585384.9532692,1835,-0.3051665127277374
1594585428.0918293,1836,-0.3056718707084656
1594585622.4827387,1849,-0.3114326298236847
1594585708.666665,1853,-0.3125464916229248
1594585724.588078,1853,-0.31262415647506714
1594585768.294753,1856,-0.3138723075389862
1594585784.54686,1856,-0.31480225920677185
1594585912.6372266,1867,-0.31649792194366455
1594585933.8519292,1867,-0.3175758719444275
1594586096.010484,1872,-0.3202594220638275
1594586298.1107094,1884,-0.3249208331108093
1594586393.4187014,1887,-0.3261193037033081
1594586425.9908164,1888,-0.3265009820461273
1594586511.9936066,1892,-0.327948659658432
1594586608.7409892,1898,-0.3300475478172302
1594586613.9561775,1898,-0.331047922372818
1594586796.6165226,1905,-0.3319762349128723
1594586851.0930588,1908,-0.33390098810195923
1594586866.9860935,1908,-0.3345252573490143
1594586872.3772304,1909,-0.33401185274124146
1594586883.2017713,1910,-0.334681898355484
1594586888.6812806,1910,-0.3353102505207062
1594587023.118787,1918,-0.33581995964050293
1594587201.3035138,1927,-0.3391070067882538
1594587413.7288847,1936,-0.34124287962913513
1594587577.8389285,1945,-0.34373152256011963
1594587720.2493975,1949,-0.3461618721485138
1594587746.8466685,1949,-0.34744593501091003
1594587865.194626,1953,-0.3468266725540161
1594587968.4752514,1958,-0.3494114577770233
1594588048.6377866,1961,-0.35016363859176636
1594588134.8212898,1963,-0.352792888879776
1594588291.8383172,1974,-0.3523602783679962
1594588307.49699,1975,-0.353080153465271
1594588442.0566425,1980,-0.35315415263175964
1594588583.0053768,1985,-0.35520699620246887
1594588675.0610125,1989,-0.35643425583839417
1594588783.703943,1996,-0.35519108176231384
1594588881.7299976,1999,-0.3548164367675781
1594588892.81396,1999,-0.3562878668308258
1594588903.7038574,2000,-0.3561619222164154
1594588936.921061,2001,-0.35602641105651855
1594589089.4931638,2014,-0.35604968667030334
1594589164.3471155,2020,-0.3553762435913086
1594589463.58143,2038,-0.35705047845840454
