Wall time,Step,Value
1594570395.626057,345,-0.06462439149618149
1594570515.2379684,391,-0.06192755326628685
1594570529.9871514,398,-0.06156313419342041
1594570584.9830928,420,-0.058614205569028854
1594570659.7815895,454,-0.05610232055187225
1594570674.8485148,459,-0.0569278784096241
1594570774.7009983,497,-0.05640796571969986
1594571084.3322356,580,-0.07470598816871643
1594571099.313383,585,-0.07630863785743713
1594571144.8540862,597,-0.07961263507604599
1594571462.2430003,670,-0.1032174602150917
1594571487.3771913,674,-0.10678349435329437
1594571593.3609638,695,-0.11521005630493164
1594571618.870255,701,-0.11567217111587524
1594571654.7497852,704,-0.11782049387693405
1594571685.3939588,710,-0.12285304069519043
1594571865.453548,743,-0.1445007622241974
1594571875.501101,746,-0.14334820210933685
1594571916.3197834,756,-0.14550620317459106
1594572064.8755295,784,-0.14982815086841583
1594572167.853882,807,-0.14429444074630737
1594572439.2743862,867,-0.14460445940494537
1594572444.1540449,868,-0.14420686662197113
1594572545.3622491,887,-0.14542514085769653
1594572635.3734534,904,-0.144928976893425
1594572705.3825707,917,-0.14411312341690063
1594573020.9881575,962,-0.14218667149543762
1594573159.523474,976,-0.14567753672599792
1594573241.1852226,985,-0.14852075278759003
1594573277.5146224,990,-0.14977143704891205
1594573282.536372,991,-0.14998114109039307
1594573451.8151574,1020,-0.1531437188386917
1594573522.7110624,1024,-0.15413707494735718
1594573563.344106,1027,-0.15619076788425446
1594573587.9433932,1032,-0.1549212634563446
1594573598.1204016,1033,-0.1554422825574875
1594573658.7918642,1041,-0.1556369960308075
1594573709.6971219,1045,-0.15590111911296844
1594573926.0946524,1075,-0.15675514936447144
1594573966.9589314,1081,-0.15616664290428162
1594574008.650341,1088,-0.15636570751667023
1594574140.7442431,1102,-0.15661972761154175
1594574186.5328941,1110,-0.15756984055042267
1594574206.7338977,1112,-0.15624497830867767
1594574217.2475305,1112,-0.1565553843975067
1594574288.8870504,1117,-0.15674254298210144
1594574299.5914807,1119,-0.15719391405582428
1594574335.601774,1124,-0.15791335701942444
1594574376.7640815,1130,-0.15820662677288055
1594574407.6796033,1135,-0.15811949968338013
1594574550.8179996,1144,-0.15847651660442352
1594574921.1477747,1183,-0.16305433213710785
1594575090.6447458,1201,-0.1658857762813568
1594575106.1056128,1203,-0.16523195803165436
1594575193.3861141,1210,-0.1661728024482727
1594575239.2876532,1214,-0.16741152107715607
1594575244.46206,1215,-0.1678318977355957
1594575276.075671,1218,-0.1670130044221878
1594575281.1466818,1218,-0.16814137995243073
1594575306.732629,1219,-0.16782833635807037
1594575399.8639205,1228,-0.1695319563150406
1594575415.588332,1230,-0.17006930708885193
1594575462.8514605,1236,-0.1701717972755432
1594575714.342953,1257,-0.17332081496715546
1594575729.723423,1260,-0.17364802956581116
1594575760.242898,1262,-0.1735740303993225
1594575791.243403,1263,-0.17389269173145294
1594575868.9538798,1269,-0.17506460845470428
1594575900.1356657,1270,-0.17549359798431396
1594575926.144861,1272,-0.176204115152359
1594576195.4068668,1285,-0.1805264949798584
1594576221.022109,1287,-0.1815005987882614
1594576226.331048,1288,-0.18048088252544403
1594576321.1334271,1295,-0.18285590410232544
1594576388.8012445,1299,-0.18300968408584595
1594576456.3276026,1302,-0.1848883032798767
1594576650.6128955,1321,-0.1894596964120865
1594576735.959942,1329,-0.19210036098957062
1594576835.689985,1337,-0.19345441460609436
1594577012.3440104,1350,-0.19708605110645294
1594577027.4015958,1351,-0.19707176089286804
1594577098.7422764,1357,-0.19934237003326416
1594577118.7921119,1357,-0.1997319757938385
1594577361.2583427,1374,-0.20676745474338531
1594577396.1168163,1378,-0.2075781524181366
1594577506.906566,1385,-0.21004292368888855
1594577567.8714063,1392,-0.21209804713726044
1594577618.3715758,1394,-0.21262423694133759
1594577770.9931788,1403,-0.21540643274784088
1594577826.683456,1407,-0.2171962410211563
1594577866.26848,1412,-0.21753917634487152
1594577896.6347322,1413,-0.21733255684375763
1594578059.2406523,1423,-0.219894677400589
1594578079.3833337,1424,-0.22101837396621704
1594578204.4326763,1432,-0.22289179265499115
1594578285.5501256,1437,-0.22449205815792084
1594578290.6337721,1437,-0.2249789535999298
1594578367.381393,1448,-0.22465671598911285
1594578387.912408,1448,-0.2262747883796692
1594578473.0446026,1454,-0.22768822312355042
1594578650.6813166,1467,-0.22925546765327454
1594578690.0021513,1472,-0.22999265789985657
1594578861.5476155,1487,-0.23187746107578278
1594578907.2525463,1490,-0.2328370362520218
1594578937.0781252,1494,-0.23197022080421448
1594578962.107091,1496,-0.23323950171470642
1594578997.1073015,1498,-0.2332577407360077
1594579042.82192,1500,-0.23461958765983582
1594579112.9261837,1507,-0.23459841310977936
1594579122.8323889,1507,-0.23397190868854523
1594579138.0508509,1507,-0.23497086763381958
1594579183.53365,1509,-0.23608557879924774
1594579359.457062,1523,-0.23676064610481262
1594579480.9412434,1530,-0.23882660269737244
1594579586.38355,1536,-0.23992319405078888
1594579677.3800602,1538,-0.24021084606647491
1594579722.8313394,1542,-0.24028927087783813
1594579788.40636,1546,-0.24000969529151917
1594579803.2679746,1548,-0.24119162559509277
1594579843.3220286,1548,-0.2401869148015976
1594580046.0389857,1559,-0.24294398725032806
1594580133.2950737,1564,-0.24331140518188477
1594580183.57257,1567,-0.2425273209810257
1594580198.7503197,1569,-0.2424336075782776
1594580298.2909563,1573,-0.2434864193201065
1594580378.2401009,1577,-0.24379247426986694
1594580469.8811154,1581,-0.2432747185230255
1594580532.017197,1584,-0.24502231180667877
1594580617.2261338,1591,-0.2455170750617981
1594580647.2192976,1593,-0.24643124639987946
1594580768.5798984,1600,-0.24781236052513123
1594580835.1115062,1605,-0.24802428483963013
1594580850.2145805,1605,-0.24800258874893188
1594580855.4758692,1605,-0.24824942648410797
1594580895.539488,1609,-0.24829918146133423
1594580915.770477,1610,-0.24958257377147675
1594580951.0143723,1612,-0.24930603802204132
1594581199.6833625,1625,-0.2511812746524811
1594581219.989032,1625,-0.2511802017688751
1594581254.9258747,1626,-0.2505297362804413
1594581300.5009885,1628,-0.25087082386016846
1594581411.634647,1635,-0.2528180480003357
1594581431.810379,1636,-0.25271499156951904
1594581472.6616437,1640,-0.2518547773361206
1594581512.5324895,1641,-0.2527138590812683
1594581532.821221,1642,-0.25270316004753113
1594581632.4843075,1650,-0.25264689326286316
1594581657.728544,1652,-0.25321340560913086
1594581662.629414,1652,-0.25371938943862915
1594581687.5357072,1653,-0.2537654936313629
1594581748.13093,1655,-0.2548074722290039
1594581763.5302727,1655,-0.25418853759765625
1594581788.2548954,1656,-0.253937304019928
1594581884.1063054,1660,-0.25350701808929443
1594581964.2982044,1666,-0.2550845742225647
1594582015.491165,1670,-0.25587213039398193
1594582077.0805914,1671,-0.25502920150756836
1594582209.821819,1679,-0.25593316555023193
1594582254.5237484,1681,-0.2559029459953308
1594582429.617333,1692,-0.2567266523838043
1594582434.5311713,1692,-0.25750529766082764
1594582444.6390197,1692,-0.2577475905418396
1594582665.6906404,1701,-0.25717732310295105
1594582706.3055024,1704,-0.25820568203926086
1594582751.676792,1706,-0.2584552764892578
1594582761.8999686,1706,-0.2590731978416443
1594582787.6059794,1709,-0.260165274143219
1594582913.9629385,1714,-0.2601027488708496
1594582918.9607685,1714,-0.2601737678050995
1594582969.3544314,1719,-0.26079434156417847
1594582979.5921671,1719,-0.2603311240673065
1594583005.103011,1720,-0.2602829933166504
1594583075.9992964,1725,-0.2609005272388458
1594583107.08925,1725,-0.26181480288505554
1594583152.5081017,1727,-0.26303327083587646
1594583228.2432094,1734,-0.2611237168312073
1594583258.3724456,1735,-0.2614787817001343
1594583497.1972897,1749,-0.2625211775302887
1594583527.3898304,1752,-0.2645535171031952
1594583614.3771923,1753,-0.2641463279724121
1594583644.6225798,1757,-0.26494866609573364
1594583926.6294892,1768,-0.2667517066001892
1594583951.670467,1768,-0.2659156918525696
1594584018.3824208,1771,-0.267220139503479
1594584208.6815584,1777,-0.27017995715141296
1594584281.1809008,1781,-0.2692815661430359
1594584462.0490232,1787,-0.27110931277275085
1594584888.788289,1808,-0.27544641494750977
1594584936.1837988,1811,-0.2754831314086914
1594584983.1366484,1813,-0.27565786242485046
1594585014.7845862,1813,-0.27659234404563904
1594585139.6776924,1819,-0.27677270770072937
1594585384.979204,1835,-0.2795349657535553
1594585428.1184464,1836,-0.2802289128303528
1594585622.5103433,1849,-0.2821729779243469
1594585708.6956224,1853,-0.2819518744945526
1594585724.6174755,1853,-0.28356578946113586
1594585768.3209593,1856,-0.28458958864212036
1594585784.5748997,1856,-0.2834378778934479
1594585912.664137,1867,-0.28640881180763245
1594585933.8814085,1867,-0.2857745289802551
1594586096.039259,1872,-0.2873550057411194
1594586298.1340797,1884,-0.28972458839416504
1594586393.4446135,1887,-0.29044002294540405
1594586426.0196984,1888,-0.2919498085975647
1594586512.0227106,1892,-0.2923045754432678
1594586608.7675955,1898,-0.2920962870121002
1594586613.9793835,1898,-0.29302340745925903
1594586796.6440985,1905,-0.2940875291824341
1594586851.1190724,1908,-0.2952389121055603
1594586867.0129702,1908,-0.29595962166786194
1594586872.4023104,1909,-0.29542747139930725
1594586883.231398,1910,-0.29455336928367615
1594586888.7067885,1910,-0.2958512306213379
1594587023.147836,1918,-0.2961080074310303
1594587201.332293,1927,-0.29689130187034607
1594587413.7586975,1936,-0.29716476798057556
1594587577.8662448,1945,-0.29872772097587585
1594587720.2744775,1949,-0.29919907450675964
1594587746.8721898,1949,-0.30014193058013916
1594587865.2214758,1953,-0.3003784716129303
1594587968.504804,1958,-0.30089548230171204
1594588048.6627967,1961,-0.30190709233283997
1594588134.8450508,1963,-0.3019743859767914
1594588291.8634388,1974,-0.3039965331554413
1594588307.5259683,1975,-0.3039792776107788
1594588442.0833423,1980,-0.30318015813827515
1594588583.0324607,1985,-0.30509766936302185
1594588675.088362,1989,-0.30571454763412476
1594588783.729792,1996,-0.3070288896560669
1594588881.756558,1999,-0.30730316042900085
1594588892.8439696,1999,-0.3082564175128937
1594588903.7329504,2000,-0.30803853273391724
1594588936.9509099,2001,-0.3076717257499695
1594589089.5175042,2014,-0.30886533856391907
1594589164.3759544,2020,-0.3098088204860687
1594589463.6074057,2038,-0.3110538125038147
1594589484.684144,2039,-0.3111051023006439
1594589544.7404485,2041,-0.31068676710128784
1594589711.0127172,2049,-0.3116346299648285
1594589753.5508997,2053,-0.3108433187007904
1594589821.509885,2055,-0.31182509660720825
1594589848.2365344,2057,-0.312204509973526
1594589932.172766,2059,-0.3119324743747711
1594589958.3369749,2060,-0.3110092282295227
1594589969.1725132,2060,-0.3116336166858673
1594590023.2531593,2062,-0.31190311908721924
1594590044.4142756,2062,-0.31214284896850586
1594590198.7697833,2067,-0.31192681193351746
1594590262.9747725,2069,-0.31236928701400757
1594590541.1827998,2082,-0.3136788308620453
1594590599.5784469,2084,-0.31390175223350525
1594590687.8239949,2087,-0.3148577809333801
1594590835.7758539,2099,-0.31652358174324036
1594590972.4987345,2104,-0.3170403242111206
1594591037.158834,2105,-0.31682831048965454
1594591096.9285514,2107,-0.3174416422843933
1594591113.37349,2107,-0.3175777792930603
1594591418.719283,2119,-0.3205052316188812
1594591445.1306055,2121,-0.3209077715873718
1594591450.503744,2121,-0.3211430013179779
1594591503.1974819,2125,-0.32072481513023376
1594591888.329599,2145,-0.32315993309020996
1594591946.8836253,2147,-0.32298117876052856
1594591952.3771808,2148,-0.32350072264671326
1594591963.30269,2148,-0.32310429215431213
1594591989.3660514,2148,-0.32338863611221313
1594591994.688969,2148,-0.32382646203041077
1594592126.916091,2152,-0.324860155582428
1594592153.9025009,2152,-0.32592231035232544
1594592169.5961022,2153,-0.3242335319519043
1594592211.5855176,2153,-0.3250073790550232
1594592318.1746142,2160,-0.32595354318618774
1594592334.3097746,2162,-0.3259457051753998
1594592339.4304686,2163,-0.3267093300819397
1594592418.56759,2167,-0.3268877863883972
1594592535.4599092,2170,-0.3277161121368408
1594592604.046357,2174,-0.32764559984207153
1594592614.5672417,2174,-0.32877057790756226
1594592684.422901,2177,-0.32826003432273865
1594592882.5573325,2186,-0.329662561416626
1594593013.0311162,2191,-0.3301607072353363
1594593050.2637358,2194,-0.3297821581363678
1594593083.254668,2195,-0.3297356367111206
1594593210.354133,2201,-0.33008813858032227
1594593225.8541648,2201,-0.32907435297966003
1594593538.266807,2216,-0.3316478133201599
1594593628.735417,2221,-0.3302419185638428
1594593738.8864853,2224,-0.33157843351364136
1594593754.5485444,2224,-0.33163636922836304
1594593992.9353929,2238,-0.332028329372406
1594594008.8155978,2238,-0.33300724625587463
1594594093.7768497,2240,-0.3332820236682892
1594594257.4988708,2244,-0.33291175961494446
1594594402.749971,2250,-0.3336229622364044
1594594444.897224,2254,-0.33421388268470764
1594594465.939054,2256,-0.33308714628219604
1594594508.359684,2257,-0.33360785245895386
1594594566.2311943,2258,-0.3333979547023773
1594594702.4560785,2266,-0.3341943919658661
1594594728.859005,2266,-0.33435654640197754
1594594812.9425278,2270,-0.3345596194267273
1594594895.6596162,2273,-0.334869921207428
1594594937.5310526,2274,-0.33550596237182617
1594594984.926316,2277,-0.3351784646511078
1594595031.87632,2279,-0.33537277579307556
1594595090.9467623,2281,-0.33566609025001526
1594595096.4039857,2281,-0.33547601103782654
1594595158.8356543,2282,-0.33498525619506836
1594595169.8403873,2284,-0.3341635763645172
1594595368.3369136,2293,-0.3342413604259491
1594595431.3041048,2296,-0.3354702889919281
1594595530.845539,2300,-0.33412715792655945
1594595651.5872157,2306,-0.334919273853302
1594595756.7618742,2312,-0.33408039808273315
1594596006.7607923,2320,-0.3343900442123413
1594596055.1521273,2324,-0.33349812030792236
1594596071.3537147,2325,-0.33425208926200867
1594596352.5089614,2342,-0.33329150080680847
1594596368.0090318,2343,-0.33427050709724426
1594596472.1766436,2352,-0.33432772755622864
1594596483.1316,2353,-0.33383020758628845
1594596488.5385756,2353,-0.33426541090011597
1594596525.2987883,2355,-0.33434054255485535
1594596621.7627661,2357,-0.3336177468299866
1594596770.7023244,2364,-0.3332812190055847
1594596875.5555964,2368,-0.3342166543006897
1594596916.8116033,2370,-0.33403369784355164
1594597078.555291,2377,-0.3335629105567932
1594597168.0497124,2381,-0.33380326628685
1594597263.1328895,2384,-0.3337036371231079
1594597306.0710986,2386,-0.33389943838119507
1594597470.2068632,2391,-0.3345557153224945
1594597614.5598714,2396,-0.3338262736797333
1594597736.9644763,2400,-0.3335099220275879
1594597890.716419,2407,-0.3332059383392334
1594597949.29293,2410,-0.33268067240715027
1594598033.6257703,2413,-0.33256858587265015
1594598107.1612396,2415,-0.331869512796402
1594598219.0449471,2421,-0.33251550793647766
1594598424.2029595,2436,-0.33084484934806824
1594598536.3366177,2444,-0.33101287484169006
1594598561.4990559,2447,-0.33119022846221924
1594598755.0786035,2462,-0.32821935415267944
1594598814.1251214,2464,-0.32814088463783264
1594598845.9464352,2468,-0.3276105225086212
1594598919.50086,2472,-0.3276299834251404
1594598930.275499,2472,-0.32691577076911926
1594599100.8823488,2481,-0.3262883722782135
1594599227.845169,2489,-0.3259240388870239
1594599290.860631,2491,-0.3249610662460327
1594599301.5185523,2492,-0.3255670964717865
1594599333.8478665,2493,-0.32409828901290894
1594599528.1223507,2502,-0.3232312798500061
1594599677.4336073,2507,-0.3238016366958618
1594599687.8123457,2508,-0.3235815465450287
1594599708.312554,2509,-0.32355326414108276
1594599787.478877,2515,-0.3224489390850067
1594600003.9250214,2526,-0.32139018177986145
1594600019.5591092,2526,-0.32181546092033386
1594600298.0674512,2539,-0.3207899332046509
1594600313.951105,2541,-0.32091692090034485
1594600366.7687004,2543,-0.3201471269130707
1594600463.7115269,2548,-0.3202960789203644
1594600469.052298,2548,-0.3205009698867798
1594600560.1907961,2555,-0.32017087936401367
1594600575.934982,2558,-0.32033202052116394
1594600755.7492244,2567,-0.3207634687423706
1594600766.2232783,2567,-0.3198097348213196
1594600803.7966244,2569,-0.3201391398906708
1594600996.4007046,2578,-0.3209439218044281
1594601107.890636,2584,-0.3200676143169403
1594601233.8966153,2591,-0.3204318583011627
1594601259.804424,2593,-0.3213062584400177
1594601292.1789799,2594,-0.3213965594768524
1594601435.5517972,2603,-0.3218635320663452
1594601540.8690927,2611,-0.32199475169181824
1594601566.9438303,2612,-0.32170340418815613
1594601647.3198044,2618,-0.3213655650615692
1594601673.636548,2618,-0.3217756152153015
1594601900.3482337,2630,-0.32200464606285095
1594602033.8796256,2636,-0.3216351866722107
1594602044.741768,2637,-0.3224574625492096
1594602131.3742685,2639,-0.32114654779434204
1594602141.6711807,2641,-0.32260531187057495
1594602172.8604572,2644,-0.32271239161491394
1594602183.2213337,2644,-0.32199981808662415
1594602276.932458,2646,-0.32129693031311035
1594602397.340118,2654,-0.32172632217407227
1594602443.4303148,2655,-0.3217948079109192
1594602541.995679,2661,-0.32164764404296875
1594602599.1172135,2663,-0.32204756140708923
1594602609.5076091,2663,-0.3208446204662323
1594602641.3180964,2665,-0.3216760456562042
1594602709.0478513,2670,-0.3211052715778351
1594602804.1184673,2675,-0.3206240236759186
1594603006.6586962,2689,-0.32051464915275574
1594603126.6882985,2692,-0.32068687677383423
1594603147.2502298,2693,-0.32042017579078674
1594603152.5183034,2693,-0.31987491250038147
1594603188.4372888,2695,-0.320622980594635
1594603276.726259,2702,-0.32113972306251526
1594603334.8134084,2705,-0.3209509551525116
1594603391.6566033,2709,-0.3217465877532959
1594603428.348697,2709,-0.32086053490638733
1594603458.8610082,2711,-0.321835994720459
1594603581.8306165,2716,-0.32317283749580383
1594603890.4710093,2731,-0.32344406843185425
1594604078.4133184,2742,-0.32360464334487915
1594604083.852198,2742,-0.32406195998191833
1594604104.776014,2744,-0.32367604970932007
1594604211.5096164,2750,-0.3242131173610687
1594604217.023027,2750,-0.32485315203666687
1594604222.655081,2750,-0.3244997560977936
1594604265.0936034,2753,-0.32285699248313904
1594604502.5869586,2765,-0.3239414393901825
1594604539.9186327,2766,-0.32454773783683777
1594604555.6447754,2767,-0.3242071270942688
1594604657.4335136,2770,-0.3236013352870941
1594604944.860232,2782,-0.3227400779724121
1594604992.5982027,2787,-0.32318297028541565
1594605003.5725217,2787,-0.32258257269859314
1594605025.5272357,2787,-0.32345032691955566
1594605057.6725087,2788,-0.32381558418273926
1594605073.7945638,2788,-0.3236341178417206
1594605111.7075572,2791,-0.3236769437789917
1594605154.4765985,2794,-0.3236128091812134
1594605170.5665405,2794,-0.32376575469970703
1594605234.626462,2795,-0.3232510983943939
1594605378.3341274,2799,-0.3236793279647827
1594605399.2728386,2800,-0.3230705261230469
1594605457.3451965,2802,-0.3237496316432953
1594605515.8048677,2804,-0.32391029596328735
1594605872.7369566,2818,-0.32284021377563477
1594605946.582677,2824,-0.32217225432395935
1594605988.2924638,2826,-0.32166382670402527
1594606063.6035411,2829,-0.3208542764186859
1594606069.1079504,2829,-0.32090261578559875
1594606205.978022,2834,-0.3210453689098358
1594606279.04815,2836,-0.3199949264526367
1594606410.0162196,2841,-0.3188321590423584
1594606563.693311,2847,-0.31921619176864624
1594606579.5733194,2847,-0.31922081112861633
1594606717.1347601,2858,-0.31792253255844116
1594606812.3918884,2861,-0.3174925446510315
1594606833.3810647,2861,-0.316700279712677
1594606967.395744,2867,-0.3166062533855438
1594607104.87612,2872,-0.3169318437576294
1594607241.8210268,2881,-0.31747427582740784
1594607321.2209918,2885,-0.3160465359687805
1594607364.1235268,2887,-0.3161071240901947
1594607369.3568149,2887,-0.31636273860931396
1594607485.769575,2893,-0.3171073794364929
1594607580.2198687,2899,-0.31708237528800964
1594607793.2295115,2912,-0.31920748949050903
1594607840.1345313,2914,-0.3199898600578308
1594607902.785784,2917,-0.32063090801239014
1594608003.7384558,2921,-0.32152724266052246
1594608019.89472,2921,-0.3209110498428345
1594608066.4508684,2924,-0.3215467929840088
1594608344.8824542,2935,-0.3232327997684479
1594608402.270243,2937,-0.3228732943534851
1594608497.1916194,2943,-0.3222954273223877
1594608550.4209375,2945,-0.32325613498687744
1594608555.728269,2945,-0.3243458867073059
1594608652.1906319,2951,-0.3241957724094391
1594608657.2756534,2951,-0.32389843463897705
1594608776.5290968,2957,-0.3246521055698395
1594608797.2674525,2958,-0.32444921135902405
1594608876.033012,2963,-0.3246059715747833
1594609033.7911255,2969,-0.32343751192092896
1594609081.5880158,2970,-0.32451748847961426
1594609097.312014,2972,-0.3245379328727722
1594609134.0662742,2975,-0.32382622361183167
1594609187.2447588,2977,-0.32426196336746216
1594609202.5195923,2978,-0.3250449299812317
