Wall time,Step,Value
1590600732.565032,1,-0.09301593154668808
1590600746.334603,2,-0.08253852277994156
1590600760.8359199,3,-0.07271279394626617
1590600773.98985,4,-0.13266125321388245
1590600789.4939468,5,-0.11533519625663757
1590600805.4765272,6,-0.14964698255062103
1590600820.681355,7,-0.12063442170619965
1590600835.891341,8,-0.11929875612258911
1590600851.065258,9,-0.13229578733444214
1590600866.413903,10,-0.13038195669651031
1590600881.924536,11,-0.1497599184513092
1590600897.704913,12,-0.10971452295780182
1590600912.6293492,13,-0.1373659372329712
1590600927.9112651,14,-0.11877602338790894
1590600942.983739,15,-0.12711960077285767
1590600958.2933602,16,-0.12495820224285126
1590600973.5041542,17,-0.11949972063302994
1590600988.4456341,18,-0.11762391030788422
1590601004.059673,19,-0.15350030362606049
1590601019.481646,20,-0.15052293241024017
1590601034.743954,21,-0.12848392128944397
1590601049.619628,22,-0.14753377437591553
1590601064.312122,23,-0.13601134717464447
1590601079.4818208,24,-0.1428930014371872
1590601094.702683,25,-0.1432849019765854
1590601110.1569002,26,-0.1308009922504425
1590601125.456257,27,-0.13669094443321228
1590601140.801162,28,-0.14377233386039734
1590601156.198317,29,-0.13363312184810638
1590601171.51607,30,-0.1624748557806015
1590601186.798066,31,-0.16104497015476227
1590601202.1090372,32,-0.1460757702589035
1590601217.641442,33,-0.16147381067276
1590601232.818439,34,-0.1496497243642807
1590601248.2429068,35,-0.15803906321525574
1590601263.985193,36,-0.15235435962677002
1590601279.902559,37,-0.15365144610404968
1590601295.4215412,38,-0.1484227478504181
1590601310.689139,39,-0.15372560918331146
1590601326.2716181,40,-0.15921899676322937
1590601341.74046,41,-0.172054722905159
1590601356.949582,42,-0.1685045212507248
1590601372.147821,43,-0.1526942253112793
1590601387.60555,44,-0.17032772302627563
1590601403.297219,45,-0.15919552743434906
1590601419.0568802,46,-0.182181715965271
1590601434.359471,47,-0.16105300188064575
1590601449.892848,48,-0.15923155844211578
1590601465.5283048,49,-0.15731076896190643
1590601481.0654972,50,-0.16690829396247864
1590601496.522057,51,-0.1701888144016266
1590601512.0005782,52,-0.1628841608762741
1590601527.682465,53,-0.17262037098407745
1590601543.660276,54,-0.1627860963344574
1590601559.3201642,55,-0.17130784690380096
1590601575.0695481,56,-0.17961245775222778
1590601590.315681,57,-0.17922544479370117
1590601605.947834,58,-0.18695640563964844
1590601621.646434,59,-0.16213703155517578
1590601637.50965,60,-0.16486652195453644
1590601653.428834,61,-0.18427003920078278
1590601669.127441,62,-0.18961310386657715
1590601684.468121,63,-0.17084889113903046
1590601700.014863,64,-0.16490942239761353
1590601715.840121,65,-0.1743183135986328
1590601731.6270561,66,-0.1895177811384201
1590601747.488204,67,-0.17276501655578613
1590601763.302819,68,-0.17953716218471527
1590601779.0557382,69,-0.19093522429466248
1590601794.531413,70,-0.1794140785932541
1590601810.3180501,71,-0.18343329429626465
1590601825.987067,72,-0.18506406247615814
1590601841.462751,73,-0.19207893311977386
1590601856.8348281,74,-0.17933008074760437
1590601872.4077492,75,-0.1971590667963028
1590601888.350392,76,-0.1794721931219101
1590601904.2324212,77,-0.18798455595970154
1590601919.7881222,78,-0.18141469359397888
1590601935.2524319,79,-0.19434323906898499
1590601950.719693,80,-0.19617745280265808
1590601966.4843578,81,-0.18440985679626465
1590601981.846519,82,-0.19451965391635895
1590601997.065141,83,-0.18483193218708038
1590602012.4207091,84,-0.1960054486989975
1590602028.080618,85,-0.18667587637901306
1590602044.113272,86,-0.1898149698972702
1590602059.679403,87,-0.1897525042295456
1590602075.1312692,88,-0.19742320477962494
1590602090.688218,89,-0.19096550345420837
1590602106.1918988,90,-0.18903902173042297
1590602121.8377411,91,-0.19757074117660522
1590602137.2835999,92,-0.18262602388858795
1590602152.6961632,93,-0.19580763578414917
1590602168.5244842,94,-0.2066800445318222
